PDBID,MUTATION,TS,POTENTIAL
2BYG,B2838Y,167,74826.5935
2BYG,B2838Y,168,74152.6538
2BYG,B2838Y,169,73481.1393
2BYG,B2838Y,170,72813.6587
2BYG,B2838Y,171,72151.3729
2BYG,B2838Y,172,71494.9214
2BYG,B2838Y,173,70844.6099
2BYG,B2838Y,174,70200.4756
2BYG,B2838Y,175,69562.4264
2BYG,B2838Y,176,68930.3882
2BYG,B2838Y,177,68304.2744
2BYG,B2838Y,178,67683.3229
2BYG,B2838Y,179,67067.2655
2BYG,B2838Y,180,66455.6610
2BYG,B2838Y,181,65848.8009
2BYG,B2838Y,182,65247.4165
2BYG,B2838Y,183,64652.0965
2BYG,B2838Y,184,64063.8152
2BYG,B2838Y,185,63482.9403
2BYG,B2838Y,186,62909.3115
2BYG,B2838Y,187,62342.3041
2BYG,B2838Y,188,61781.0977
2BYG,B2838Y,189,61225.5956
2BYG,B2838Y,190,60674.1505
2BYG,B2838Y,191,60126.2148
2BYG,B2838Y,192,59581.4218
2BYG,B2838Y,193,59039.5288
2BYG,B2838Y,194,58500.3807
2BYG,B2838Y,195,57963.9074
2BYG,B2838Y,196,57430.1002
2BYG,B2838Y,197,56898.9683
2BYG,B2838Y,198,56370.4837
2BYG,B2838Y,199,55844.1475
2BYG,B2838Y,200,55320.6155
2BYG,B2838Y,201,54800.0344
2BYG,B2838Y,202,54282.5673
2BYG,B2838Y,203,53768.2351
2BYG,B2838Y,204,53256.9756
2BYG,B2838Y,205,52947.6380
2BYG,B2838Y,206,52785.5527
2BYG,B2838Y,207,52344.6480
2BYG,B2838Y,208,52430.4822
2BYG,B2838Y,209,52343.2443
2BYG,B2838Y,210,52343.6580
2BYG,B2838Y,211,52343.1860
2BYG,B2838Y,212,51818.0061
2BYG,B2838Y,213,51420.4259
2BYG,B2838Y,214,50957.9056
2BYG,B2838Y,215,50865.1121
2BYG,B2838Y,216,50886.4504
2BYG,B2838Y,217,50842.5031
2BYG,B2838Y,218,50841.3028
2BYG,B2838Y,219,50841.3001
2BYG,B2838Y,220,50236.1659
2BYG,B2838Y,221,49710.9013
2BYG,B2838Y,222,49243.6873
2BYG,B2838Y,223,48902.2735
2BYG,B2838Y,224,48386.8180
2BYG,B2838Y,225,48052.6699
2BYG,B2838Y,226,47532.7756
2BYG,B2838Y,227,47147.0052
2BYG,B2838Y,228,46701.3501
2BYG,B2838Y,229,46593.2780
2BYG,B2838Y,230,46376.5109
2BYG,B2838Y,231,45983.5600
2BYG,B2838Y,232,45761.7644
2BYG,B2838Y,233,45682.7998
2BYG,B2838Y,234,45726.9880
2BYG,B2838Y,235,45680.3558
2BYG,B2838Y,236,45680.7403
2BYG,B2838Y,237,45680.3531
2BYG,B2838Y,238,45187.1931
2BYG,B2838Y,239,44743.7546
2BYG,B2838Y,240,44439.8854
2BYG,B2838Y,241,44241.4460
2BYG,B2838Y,242,43833.5347
2BYG,B2838Y,243,43498.6362
2BYG,B2838Y,244,43025.7369
2BYG,B2838Y,245,42583.7915
2BYG,B2838Y,246,42150.2395
2BYG,B2838Y,247,41724.6727
2BYG,B2838Y,248,41304.9979
2BYG,B2838Y,249,40866.9212
2BYG,B2838Y,250,40435.6131
2BYG,B2838Y,251,40015.4847
2BYG,B2838Y,252,39605.4477
2BYG,B2838Y,253,39153.2369
2BYG,B2838Y,254,38753.3292
2BYG,B2838Y,255,38334.0363
2BYG,B2838Y,256,37945.8006
2BYG,B2838Y,257,37485.2949
2BYG,B2838Y,258,37052.3226
2BYG,B2838Y,259,36623.1924
2BYG,B2838Y,260,36196.0985
2BYG,B2838Y,261,35773.9967
2BYG,B2838Y,262,35359.7469
2BYG,B2838Y,263,34950.3897
2BYG,B2838Y,264,34544.7821
2BYG,B2838Y,265,34142.0511
2BYG,B2838Y,266,33741.4903
2BYG,B2838Y,267,33345.5196
2BYG,B2838Y,268,32963.3996
2BYG,B2838Y,269,32622.5493
2BYG,B2838Y,270,32308.6361
2BYG,B2838Y,271,32068.1917
2BYG,B2838Y,272,31889.2721
2BYG,B2838Y,273,31571.5575
2BYG,B2838Y,274,31304.6578
2BYG,B2838Y,275,30915.4946
2BYG,B2838Y,276,30558.3766
2BYG,B2838Y,277,30210.9780
2BYG,B2838Y,278,29870.5585
2BYG,B2838Y,279,29537.5053
2BYG,B2838Y,280,29211.9584
2BYG,B2838Y,281,28894.9358
2BYG,B2838Y,282,28584.4685
2BYG,B2838Y,283,28269.9260
2BYG,B2838Y,284,27994.4982
2BYG,B2838Y,285,27820.5450
2BYG,B2838Y,286,27666.4887
2BYG,B2838Y,287,27445.3000
2BYG,B2838Y,288,27383.2465
2BYG,B2838Y,289,27394.9792
2BYG,B2838Y,290,27381.0768
2BYG,B2838Y,291,27381.0489
2BYG,B2838Y,292,27150.2288
2BYG,B2838Y,293,26974.5719
2BYG,B2838Y,294,26759.5221
2BYG,B2838Y,295,26615.0786
2BYG,B2838Y,296,26623.2237
2BYG,B2838Y,297,26600.5211
2BYG,B2838Y,298,26600.4553
2BYG,B2838Y,299,26600.4429
2BYG,B2838Y,300,26254.7562
2BYG,B2838Y,301,26000.8273
2BYG,B2838Y,302,25813.1995
2BYG,B2838Y,303,25777.9815
2BYG,B2838Y,304,25898.2123
2BYG,B2838Y,305,25761.6907
2BYG,B2838Y,306,25761.5228
2BYG,B2838Y,307,25761.5229
2BYG,B2838Y,308,25530.9765
2BYG,B2838Y,309,25423.3945
2BYG,B2838Y,310,25264.0846
2BYG,B2838Y,311,25206.7058
2BYG,B2838Y,312,25196.7717
2BYG,B2838Y,313,25211.0013
2BYG,B2838Y,314,25196.6357
2BYG,B2838Y,315,25196.7024
2BYG,B2838Y,316,25196.6342
2BYG,B2838Y,317,24963.3838
2BYG,B2838Y,318,24768.3605
2BYG,B2838Y,319,24631.4924
2BYG,B2838Y,320,24597.5607
2BYG,B2838Y,321,24631.2310
2BYG,B2838Y,322,24595.7745
2BYG,B2838Y,323,24595.7968
2BYG,B2838Y,324,24595.6984
2BYG,B2838Y,325,24429.4027
2BYG,B2838Y,326,24304.9043
2BYG,B2838Y,327,24108.6953
